id,title,authors,genres_primary,age_rating,pages,price_vnd,year,introduction,short_summary,publisher,rating_avg,stocks
FI001,Nhà giả kim,Paulo Coelho,Fiction,13,228,99000,1988,"Tất cả những trải nghiệm trong chuyến phiêu du theo đuổi vận mệnh của mình đã giúp Santiago thấu hiểu được ý nghĩa sâu xa nhất của hạnh phúc, hòa hợp với vũ trụ và con người.

Tiểu thuyết Nhà giả kim của Paulo Coelho như một câu chuyện cổ tích giản dị, nhân ái, giàu chất thơ, thấm đẫm những minh triết huyền bí của phương Đông. Trong lần xuất bản đầu tiên tại Brazil vào năm 1988, sách chỉ bán được 900 bản. Nhưng, với số phận đặc biệt của cuốn sách dành cho toàn nhân loại, vượt ra ngoài biên giới quốc gia, Nhà giả kim đã làm rung động hàng triệu tâm hồn, trở thành một trong những cuốn sách bán chạy nhất mọi thời đại, và có thể làm thay đổi cuộc đời người đọc.

“Nhưng nhà luyện kim đan không quan tâm mấy đến những điều ấy. Ông đã từng thấy nhiều người đến rồi đi, trong khi ốc đảo và sa mạc vẫn là ốc đảo và sa mạc. Ông đã thấy vua chúa và kẻ ăn xin đi qua biển cát này, cái biển cát thường xuyên thay hình đổi dạng vì gió thổi nhưng vẫn mãi mãi là biển cát mà ông đã biết từ thuở nhỏ. Tuy vậy, tự đáy lòng mình, ông không thể không cảm thấy vui trước hạnh phúc của mỗi người lữ khách, sau bao ngày chỉ có cát vàng với trời xanh nay được thấy chà là xanh tươi hiện ra trước mắt. ‘Có thể Thượng đế tạo ra sa mạc chỉ để cho con người biết quý trọng cây chà là,’ ông nghĩ.”",Hành trình tìm kho báu và khám phá bản thân qua những bài học sống giản dị.,NXB Văn Học,3.92,784
SF001,Đắc nhân tâm,Dale Carnegie,Self-help,16,319,120000,1936,"Đắc nhân tâm của Dale Carnegie là quyển sách duy nhất về thể loại self-help liên tục đứng đầu danh mục sách bán chạy nhất (best-selling Books) do báo The New York Times bình chọn suốt 10 năm liền. Được xuất bản năm 1936, với số lượng bán ra hơn 15 triệu bản, tính đến nay, sách đã được dịch ra ở hầu hết các ngôn ngữ, trong đó có cả Việt Nam, và đã nhận được sự đón tiếp nhiệt tình của đọc giả ở hầu hết các quốc gia.

Là quyển sách đầu tiên có ảnh hưởng làm thay đổi cuộc đời của hàng triệu người trên thế giới, Đắc Nhân Tâm là cuốn sách đem lại những giá trị tuyệt vời cho người đọc, bao gồm những lời khuyên cực kì bổ ích về cách ứng xử trong cuộc sống hàng ngày. Sức lan toả của quyển sách vô cùng rộng lớn – với nhiều tầng lớp, đối tượng.

Đắc Nhân Tâm không chỉ là là nghệ thuật thu phục lòng người, Đắc Nhân Tâm còn đem lại cho độc giả góc nhìn, suy nghĩ sâu sắc về việc giao tiếp ứng xử.

Triết lý của Đắc Nhân Tâm là hiểu mình, thành thật với chính mình, từ đó hiểu biết và quan tâm đến những người xung quanh để nhìn ra và khơi gợi những tiềm năng ẩn khuất nơi họ, giúp họ phát triển lên một tầm cao mới. Đây chính là nghệ thuật cao nhất về con người và chính là ý nghĩa sâu sắc nhất đúc kết từ những nguyên tắc vàng của Dale Carnegie.","Nghệ thuật giao tiếp và ảnh hưởng, giúp xây dựng mối quan hệ bền vững và thành công.",NXB Trẻ,4.22,320
FA001,Harry Potter và Hòn đá Phù thuỷ,J.K. Rowling,Fantasy,13,344,165000,1997,"Khi một lá thư được gởi đến cho cậu bé Harry Potter bình thường và bất hạnh, cậu khám phá ra một bí mật đã được che giấu suốt cả một thập kỉ. Cha mẹ cậu chính là phù thủy và cả hai đã bị lời nguyền của Chúa tể Hắc ám giết hại khi Harry mới chỉ là một đứa trẻ, và bằng cách nào đó, cậu đã giữ được mạng sống của mình. Thoát khỏi những người giám hộ Muggle không thể chịu đựng nổi để nhập học vào trường Hogwarts, một trường đào tạo phù thủy với những bóng ma và phép thuật, Harry tình cờ dấn thân vào một cuộc phiêu lưu đầy gai góc khi cậu phát hiện ra một con chó ba đầu đang canh giữ một căn phòng trên tầng ba. Rồi Harry nghe nói đến một viên đá bị mất tích sở hữu những sức mạnh lạ kì, rất quý giá, vô cùng nguy hiểm, mà cũng có thể là mang cả hai đặc điểm trên.",Cậu bé phù thủy khám phá thế giới phép thuật và bắt đầu cuộc phiêu lưu tại Hogwarts.,NXB Trẻ,4.47,41
FN001,Cha giàu cha nghèo,Robert Kiyosaki,Finance,16,382,139000,1997,"Trong thời buổi kinh tế đang ngày càng bão hòa và khó khăn, thì việc tạo dựng sự nghiệp thành công cho bản thân mỗi người là điều không dễ dàng gì. Không phải là bạn cứ có kiến thức hay nhiều tiền là sẽ trở nên giàu có ngay lập tức, tất cả điều cần có bí quyết và một lộ trình đi đến thành công một cách đúng hướng.

Đó chính là một trong những thông điệp mà cuốn sách Cha giàu cha nghèo của tác giả Robert Kiyosaki muốn gửi gắm đến các độc giả của mình","Bài học về tư duy tài chính, đầu tư và khác biệt giữa tài sản và tiêu sản.",NXB Văn hóa,4.1,789
FI002,Cánh đồng bất tận,Nguyễn Ngọc Tư,Fiction,16,216,100000,2005,"Cánh đồng bất tận bao gồm những truyện hay và mới nhất của nhà văn Nguyễn Ngọc Tư. Đây là tác phẩm đang gây xôn xao trong đời sống văn học, bởi ở đó người ta tìm thấy sự dữ dội, khốc liệt của đời sống thôn dã qua cái nhìn của một cô gái. Bi kịch về nỗi mất mát, sự cô đơn được đẩy lên đến tận cùng, khiến người đọc có lúc cảm thấy nhói tim...","Những lát cắt đời sống miền Tây, cảm xúc sâu lắng về thân phận con người.",NXB Trẻ,4.3,50
NF001,Sapiens: Lược sử loài người,Yuval Noah Harari,Nonfiction,18,548,350000,2011,"Sapiens, đưa chúng ta vào một chuyến đi kinh ngạc qua toàn bộ lịch sử loài người, từ những gốc rễ tiến hóa của nó đến thời đại của chủ nghĩa tư bản và kỹ thuật di truyền, để khám phá tại sao chúng ta đang trong những điều kiện sinh sống hiện tại.

Sapiens tập trung vào các quá trình quan trọng đã định hình loài người và thế giới quanh nó, chẳng hạn như sự ra đời của sản xuất nông nghiệp, việc tạo ra tiền, sự lan truyền của những tôn giáo, và sự nổi lên của những nhà nước quốc gia. Không giống như những quyển sách khác cùng loại, Sapiens đã có một lối tiếp cận liên ngành học, bắc cầu qua những khoảng cách giữa lịch sử, sinh học, triết học và kinh tế theo một lối trước đây chưa từng có. Hơn nữa, lấy cả quan điểm vĩ mô và vi mô, Sapiens không chỉ đề cập đến những gì đã xảy ra và tại sao, mà còn đi sâu vào việc những cá nhân trong lịch sử đó đã cảm nhận nó như thế nào.

Câu hỏi lớn và sâu sắc của Harari là: chúng ta thực sự muốn gì? Có cách nào để đạt được hạnh phúc cho con người chúng ta, hoặc thậm chí liệu chúng ta có biết được nó là gì hay không? Trong cốt lõi của nó, Sapiens biện luận rằng chúng ta không biết về bản thân chúng ta, huống chi biết được những nhu cầu của những loài sinh vật khác. Chúng ta đã quá thường xuyên bị những tưởng tượng hư cấu của chúng ta lừa dối. Lịch sử cũng là một hư cấu, nhưng một hư cấu đã được kiềm chế bởi thực tại và biện luận: một hình thức của huyền thoại – một hư cấu hữu ích – khiến nó có thể mang lại sự giác ngộ của sự tự biết chính mình.

“Tôi khuyến khích tất cả chúng ta, dẫu có những tin tưởng tín ngưỡng nào, để đặt câu hỏi về những thuật kể cơ bản về thế giới chúng ta, để nối những phát triển ngày xưa với những quan tâm ngày nay, và để không sợ hãi những vấn đề tranh luận” (Yuval Noah Harari)",Lược sử về con người: từ săn bắn hái lượm tới xã hội hiện đại và tri thức.,NXB Tri thức,4.34,84
NF002,Khi hơi thở hóa thinh không,Paul Kalanithi,Nonfiction,16,236,109000,2016,"Khi Hơi Thở Hóa Thinh Không là tự truyện của một bác sĩ bị mắc bệnh ung thư phổi. Trong cuốn sách này, tác giả đã chia sẻ những trải nghiệm từ khi mới bắt đầu học ngành y, tiếp xúc với bệnh nhân cho tới khi phát hiện ra mình bị ung thư và phải điều trị lâu dài.

Kalanithi rất yêu thích văn chương nên câu chuyện của anh đã được thuật lại theo một phong cách mượt mà, dung dị và đầy cảm xúc. Độc giả cũng được hiểu thêm về triết lý sống, triết lý nghề y của Kalanithi, thông qua ký ức về những ngày anh còn là sinh viên, rồi thực tập, cho đến khi chính thức hành nghề phẫu thuật thần kinh. “Đối với bệnh nhân và gia đình, phẫu thuật não là sự kiện bi thảm nhất mà họ từng phải đối mặt và nó có tác động như bất kỳ một biến cố lớn lao trong đời. Trong những thời điểm nguy cấp đó, câu hỏi không chỉ đơn thuần là sống hay chết mà còn là cuộc sống nào đáng sống.” – Kalanithi luôn biết cách đưa vào câu chuyện những suy nghĩ sâu sắc và đầy sự đồng cảm như thế.

Bạn bè và gia đình đã dành tặng những lời trìu mến nhất cho con người đáng kính trọng cả về tài năng lẫn nhân cách này. Dù không thể vượt qua cơn bệnh nan y, nhưng thông điệp của tác giả sẽ còn khiến người đọc nhớ mãi.",Bác sĩ viết về cái nhìn về cuộc đời và cái chết khi đối diện ung thư.,NXB Trẻ,4.41,980
SF002,7 Thói Quen Hiệu Quả,Stephen R. Covey,Self-help,16,480,299000,1989,"Tên đầy đủ của cuốn sách này, nếu dịch sát nghĩa sẽ là: “7 Thói quen của người có hiệu quả vượt trội”, còn nếu dịch một cách ngắn gọn nhưng vẫn sâu sắc sẽ là “7 Thói quen Hiệu quả”. Gần như Stephen Covey đã dành cả cuộc đời mình để nghiên cứu về tính hiệu quả của con người, để đi tìm câu trả lời cho ba câu hỏi lớn lao, đó là: “Vì sao con người ta trở nên ít hiệu quả?”, “Điều gì làm cho con người ta trở nên hiệu quả cao?” và “Điều gì tạo nên hiệu quả bền vững?”, và “7 Habits” chính là sự đúc kết sự nghiệp nghiên cứu cả đời của ông cho ba câu hỏi mang tính “muôn đời” đó.

Mơ ước của hầu hết mọi người trong đời là trở thành một con người thành công và hạnh phúc bằng chính tài năng và đạo đức của mình. Ở bình diện tổ chức hay các quốc gia cũng vậy. Một tổ chức hay quốc gia càng có nhiều người hướng đến thành công bằng tài năng và đạo đức, tổ chức hay quốc gia đó càng có cơ hội phát triển thịnh vượng và văn minh. Tài năng và đạo đức đã trở thành những phẩm chất được tìm kiếm và tôn vinh hàng đầu trong mọi xã hội và mọi thời đại, và chúng có một mối liên quan chặt chẽ với với hiệu quả và hiệu quả bền vững. Cần có tài năng thì mới tạo ra được hiệu quả, cần có đạo đức thì mới tạo ra được hiệu quả bền vững. Và ngược lại, không ai có thể được xem là tài năng nếu không tạo ra hiệu quả, cũng như không ai có thể được coi là có đạo đức nếu như việc tạo ra hiệu quả đó chỉ là nhất thời chứ không mang tính bền vững, bởi lẽ, để tạo ra hiệu quả bền vững thì luôn phải dựa trên nền tảng đạo đức. Vì thế, câu trả lời về “hiệu quả” cũng chính là “lời đáp” cho câu chuyện về tài năng và đạo đức mà nhiều người tìm kiếm, mà lại là một “lời đáp” được đúc kết bằng việc chuyển hóa một hệ thống giá trị ở bên trong để hình thành bản tính thành công bền vững của con người, chứ hoàn toàn không phải là những chiêu trò hay thủ thuật ở bên ngoài.

Stephen Covey từng nói rằng, ông không phát minh hay tạo ra “7 Habits”, mà “7 Habits” được đưa ra dựa trên những giá trị phổ quát và những nguyên tắc trường tồn của nhân loại. Chính trong thái độ khiêm nhường đó, ta nhận ra tầm vóc của ông. Vì ông đã tạo ra một cầu nối giữa chúng ta với những tri thức tinh hoa của nhân loại về làm người, về giá trị sống, và nhất là về tính hiệu quả. Thường những tri thức này không phải là thứ dễ tiếp cận, dễ tiếp thu với đại chúng, nhưng bằng việc sắp xếp và tổng hợp chúng trong một hình hài có tính hệ thống và tính ứng dụng cao, ông đã góp phần đưa những tinh hoa tri thức đó đến với công chúng dễ dàng hơn. Và cũng bởi được xây dựng dựa trên những gì phổ quát và trường tồn nên “7 Habits” mới trở thành một nền văn hóa vượt không gian, vượt thời gian, dành cho tất cả mọi người, mọi tổ chức và mọi xứ sở. Bất kỳ ai cài đặt nền văn hóa “7 habits” này vào và sống hàng ngày với nền văn hóa đó, thì dù là một tổng thống, một doanh nhân, một quản lý hay một đầu bếp, một nhân viên… cũng sẽ trở nên hiệu quả hơn hẳn…",Khung làm việc để phát triển thói quen dẫn tới hiệu quả cá nhân và nghề nghiệp.,NXB Tổng Hợp,4.16,410
NF003,Đàn ông sao Hỏa đàn bà sao Kim,John Gray,Nonfiction,16,488,168000,1995,"Liệu sự điên cuồng của cuộc sống này có thể duy trì lâu dài trong một cuộc hôn nhân một vợ một chồng? Liệu đàn ông và phụ nữ có thể hiểu, chấp nhận và trân trọng những khác biệt của nhau khi ở trong phòng ngủ?

“Hoàn toàn có thể!”, John Gray khẳng định. Cuốn sách bán chạy Đàn Ông Sao Hỏa, Đàn Bà Sao Kim của ông đã chỉ cho hàng triệu người cách giao tiếp với người khác giới và cách nhạy bén hơn trước những nhu cầu cảm xúc khác nhau của mỗi bên. Trong cuốn sách đầy cuốn hút này, Tiến sĩ Gray trình bày cách tận dụng sự khéo léo trong quan hệ để giữ cho sự thân mật, đam mê và lãng mạn luôn bùng cháy.

Cuốn cẩm nang này hướng dẫn bạn cách truyền đạt nhu cầu của mình một cách hiệu quả nhưng vẫn đầy yêu thương, và cách khiến đời sống tình dục trở nên tự nhiên, tươi mới, đặc biệt và thỏa mãn cho cả hai.
John Gray chia sẻ những trải nghiệm và hiểu biết vô giá giúp bạn tạo ra những nghi thức lãng mạn của riêng mình, để mối quan hệ của bạn ngày càng gắn bó và nồng nàn suốt cả cuộc đời.",Hiểu khác biệt giới tính để cải thiện giao tiếp và mối quan hệ tình cảm.,NXB Trẻ,3.83,22
FI003,Cho tôi xin một vé đi tuổi thơ,Nguyễn Nhật Ánh,Fiction,13,207,90000,2008,"Truyện Cho tôi xin một vé đi tuổi thơ là sáng tác mới nhất của nhà văn Nguyễn Nhật Ánh. Nhà văn mời người đọc lên chuyến tàu quay ngược trở lại thăm tuổi thơ và tình bạn dễ thương của 4 bạn nhỏ. Những trò chơi dễ thương thời bé, tính cách thật thà, thẳng thắn một cách thông minh và dại dột, những ước mơ tự do trong lòng… khiến cuốn sách có thể làm các bậc phụ huynh lo lắng rồi thở phào. Không chỉ thích hợp với người đọc trẻ, cuốn sách còn có thể hấp dẫn và thực sự có ích cho người lớn trong quan hệ với con mình.","Một hành trình trở về thế giới trẻ thơ đầy hồn nhiên qua góc nhìn của bốn đứa trẻ “siêu quậy”: Mùi, Tí, Hải cò và cu Tủn. Cuốn sách tái hiện những ký ức tinh nghịch, trong sáng và đầy mơ mộng, đồng thời nhắc người lớn nhớ lại cách mình đã từng nhìn thế giới – bằng sự tò mò, vô tư và yêu đời. Đây là lời nhắn gửi nhẹ nhàng rằng đôi khi chúng ta cần một “tấm vé” để trở lại với tâm hồn trong trẻo ngày xưa.",NXB Trẻ,4.2,890
