id,source,title,chunk_text
FAQ_1,FAQ:FAQ_1,Bao lâu nhận được hàng sau khi đặt?,"Thời gian giao hàng thường từ 2–5 ngày làm việc tùy khu vực. Với nội thành, có thể nhận trong 1–2 ngày."
FAQ_2,FAQ:FAQ_2,Phí vận chuyển được tính như thế nào?,"Phí vận chuyển phụ thuộc vào khu vực nhận hàng, trọng lượng sách và loại dịch vụ. Chi tiết phí được hiển thị tại bước thanh toán."
FAQ_3,FAQ:FAQ_3,Có giao hàng nhanh hoặc giao trong ngày không?,"Có, dịch vụ giao nhanh trong ngày áp dụng tại một số khu vực. Bạn có thể chọn khi đặt hàng."
FAQ_4,FAQ:FAQ_4,Có ship COD không?,"Có, dịch vụ COD (thanh toán khi nhận hàng) được hỗ trợ tại các khu vực được áp dụng."
FAQ_5,FAQ:FAQ_5,Có thể đổi địa chỉ nhận hàng sau khi đặt không?,"Có, bạn có thể thay đổi địa chỉ nhận hàng trước khi đơn hàng được gửi đi bằng cách liên hệ bộ phận CSKH."
FAQ_6,FAQ:FAQ_6,Có giao hàng quốc tế không?,"Có, chúng tôi hỗ trợ giao hàng quốc tế. Phí và thời gian giao hàng phụ thuộc quốc gia và được thông báo tại bước thanh toán."
FAQ_7,FAQ:FAQ_7,Có thể hẹn giờ nhận sách không?,"Có, bạn có thể chọn ngày giờ nhận sách trong quá trình đặt hàng nếu khu vực hỗ trợ."
FAQ_8,FAQ:FAQ_8,Thời gian đổi trả sản phẩm là bao lâu?,Bạn có thể đổi trả trong vòng 7–14 ngày kể từ ngày nhận hàng nếu sách còn nguyên vẹn và chưa sử dụng.
FAQ_9,FAQ:FAQ_9,Sách bị lỗi hoặc hư hỏng có được đổi không?,"Có, chúng tôi chấp nhận đổi mới hoặc hoàn tiền cho các sách bị lỗi, rách hoặc in sai."
FAQ_10,FAQ:FAQ_10,"Có được hoàn tiền không, mất bao lâu để nhận?","Có, thời gian hoàn tiền thường từ 3–5 ngày làm việc kể từ khi chúng tôi nhận sách trả về."
FAQ_11,FAQ:FAQ_11,Ai chịu phí vận chuyển khi đổi trả sách?,"Nếu lỗi do nhà sản xuất hoặc vận chuyển, chúng tôi chịu phí. Nếu do khách hàng đổi ý, khách hàng chịu phí vận chuyển."
FAQ_12,FAQ:FAQ_12,Có thể đổi sang sách khác cùng giá trị không?,"Có, bạn có thể chọn sách khác cùng giá trị hoặc trả thêm nếu sách mới giá cao hơn."
FAQ_13,FAQ:FAQ_13,Quy trình đổi trả thực hiện như thế nào?,"Liên hệ bộ phận CSKH, gửi sách trả về và chọn phương thức hoàn tiền hoặc đổi sách khác theo hướng dẫn."
FAQ_14,FAQ:FAQ_14,Có được hoàn tiền nếu đổi ý sau khi nhận hàng không?,"Có, trong thời gian đổi trả quy định, phí vận chuyển do khách hàng chịu nếu không phải lỗi sản phẩm."
FAQ_15,FAQ:FAQ_15,"Nếu đơn hàng bị thất lạc trong quá trình vận chuyển, làm sao?","Vui lòng liên hệ CSKH ngay để được hỗ trợ giải quyết, hoàn tiền hoặc gửi lại sách."
FAQ_16,FAQ:FAQ_16,Những phương thức thanh toán nào được chấp nhận?,"Thanh toán qua thẻ ngân hàng nội địa và quốc tế (Visa, Mastercard), ví điện tử (Momo, VNPay, ZaloPay) và COD."
FAQ_17,FAQ:FAQ_17,Giá sách đã bao gồm thuế chưa?,Giá hiển thị trên website đã bao gồm VAT nếu áp dụng.
FAQ_18,FAQ:FAQ_18,Có thể thanh toán nhiều đơn hàng cùng lúc không?,"Có, bạn có thể thanh toán nhiều đơn hàng trong giỏ hàng cùng lúc."
FAQ_19,FAQ:FAQ_19,Có ưu đãi cho học sinh/sinh viên hoặc thành viên không?,"Có, khách hàng đăng ký tài khoản hoặc email học sinh/sinh viên sẽ nhận ưu đãi đặc biệt."
FAQ_20,FAQ:FAQ_20,Làm sao áp dụng mã giảm giá hoặc voucher khi thanh toán?,Nhập mã giảm giá hoặc voucher vào ô “Mã giảm giá” tại trang thanh toán và nhấn “Áp dụng”.
FAQ_21,FAQ:FAQ_21,Sách có bảo hành không?,"Sách không có bảo hành vật lý nhưng chúng tôi đảm bảo chất lượng in ấn và bìa, đổi trả nếu lỗi do nhà sản xuất."
FAQ_22,FAQ:FAQ_22,Thời gian bảo hành là bao lâu?,"Chỉ áp dụng cho lỗi sản xuất, thời gian đổi trả trong vòng 7–14 ngày kể từ ngày nhận hàng."
FAQ_23,FAQ:FAQ_23,"Sách bị hư hỏng do vận chuyển, xử lý thế nào?","Liên hệ CSKH để được gửi sách thay thế hoặc hoàn tiền, phí do cửa hàng chịu."
FAQ_24,FAQ:FAQ_24,Thông tin cá nhân của khách hàng được bảo mật như thế nào?,Chúng tôi cam kết bảo mật thông tin khách hàng và không chia sẻ cho bên thứ 3.
FAQ_25,FAQ:FAQ_25,Có thể xóa tài khoản hoặc dữ liệu cá nhân không?,"Có, bạn có thể liên hệ CSKH để yêu cầu xóa tài khoản và dữ liệu cá nhân."
FAQ_26,FAQ:FAQ_26,Làm sao cập nhật thông tin cá nhân?,"Vào phần “Tài khoản của tôi” > “Thông tin cá nhân” để chỉnh sửa tên, email, số điện thoại và địa chỉ."
FAQ_27,FAQ:FAQ_27,Có chương trình tích điểm hay membership không?,"Có, khách hàng đăng ký tài khoản sẽ được tích điểm cho mỗi đơn hàng và đổi điểm lấy voucher."
FAQ_28,FAQ:FAQ_28,Có ưu đãi đặc biệt trong các dịp lễ không?,"Có, thông tin khuyến mãi được cập nhật trên website và email cho thành viên."
FAQ_29,FAQ:FAQ_29,Thời gian phản hồi của CSKH là bao lâu?,Trung bình phản hồi trong vòng 24 giờ đối với email và vài phút cho chat trực tiếp.
FAQ_30,FAQ:FAQ_30,Chatbot có hỗ trợ 24/7 không?,"Có, chatbot luôn sẵn sàng trả lời câu hỏi cơ bản và hướng dẫn khách hàng."
FAQ_31,FAQ:FAQ_31,Làm sao liên hệ nhân viên tư vấn trực tiếp?,"Bạn có thể gọi hotline, gửi email hoặc chat trực tiếp trên website/app."
FAQ_32,FAQ:FAQ_32,Có thể phản hồi đánh giá hoặc báo lỗi sản phẩm không?,"Có, bạn có thể gửi phản hồi hoặc báo lỗi qua form liên hệ hoặc chat trực tiếp."
